Jomashop values	Normlised	Fix	Attribute			
Stainless Steel with a Black and Orange Ceramic 	 Stainless Steel / Ceramic /  		 bezel.material			
Stainless Steel with a Black and Red (Coke) Ceramic Ring 	 Stainless Steel / Ceramic /  		 bezel.material			
Stainless Steel with a Blue & Red Ceramic (Pepsi) 	 Stainless Steel / Ceramic /  		 bezel.material			
Stainless Steel with a Blue (High Tech) Ceramic Ring 	 Stainless Steel / Ceramic /  		 bezel.material			
Stainless Steel with a Blue Ceramic 	 Stainless Steel / Ceramic /  		 bezel.material			
Stainless Steel with a Blue Ceramic   (Count-Up Elapsed Time) Top Ring 	 Stainless Steel / Ceramic /  		 bezel.material			
Stainless Steel with a Blue Ceramic ( Count-Up Elapsed Time) Top Ring 	 Stainless Steel / Ceramic /  		 bezel.material			
Stainless Steel with a Blue Ceramic (Count-Up Elapsed Time) Ring 	 Stainless Steel / Ceramic /  		 bezel.material			
Stainless Steel with a Blue Ceramic (Count-Up Elapsed Time) Top Ring 	 Stainless Steel / Ceramic /  		 bezel.material			
Stainless Steel with a Blue Ceramic Disc 	 Stainless Steel / Ceramic /  		 bezel.material			
Stainless Steel with a Blue Ceramic Inlay 	 Stainless Steel / Ceramic /  		 bezel.material			
Stainless Steel with a Blue Ceramic Ring 	 Stainless Steel / Ceramic /  		 bezel.material			
Stainless Steel with a Blue Ceramic Ring showing Tachymeter Markings 	 Stainless Steel / Ceramic /  		 bezel.material			
Stainless Steel with a Blue Ceramic Top Ring 	 Stainless Steel / Ceramic /  		 bezel.material			
Stainless Steel with a Blue Ceramic Top Ring showing Tachymeter Markings 	 Stainless Steel / Ceramic /  		 bezel.material			
Stainless Steel with a Blue Ceramic showing Tachymeter Markers 	 Stainless Steel / Ceramic /  		 bezel.material			
Stainless Steel with a Blue and Back Ceramic Ring 	 Stainless Steel / Ceramic /  		 bezel.material			
Stainless Steel with a Blue and Black Ceramic (Batman) Ring 	 Stainless Steel / Ceramic /  		 bezel.material			
Stainless Steel with a Blue and Black Ceramic Ring 	 Stainless Steel / Ceramic /  		 bezel.material			
Stainless Steel with a Blush Pink Ceramic Ring 	 Stainless Steel / Ceramic /  		 bezel.material			
Stainless Steel with a Brown Ceramic 	 Stainless Steel / Ceramic /  		 bezel.material			
Stainless Steel with a Brown Ceramic Ring 	 Stainless Steel / Ceramic /  		 bezel.material			
Stainless Steel with a Brown Ceramic Top Ring 	 Stainless Steel / Ceramic /  		 bezel.material			
Stainless Steel with a Ceramic 	 Stainless Steel / Ceramic /  		 bezel.material			
Stainless Steel with a Ceramic Top Ring 	 Stainless Steel / Ceramic /  		 bezel.material			
Stainless Steel with a Dark Blue Ceramic Ring 	 Stainless Steel / Ceramic /  		 bezel.material			
Stainless Steel with a Dark Grey Ceramic Top Ring 	 Stainless Steel / Ceramic /  		 bezel.material			
Stainless Steel with a Domed Black Ceramic Ring 	 Stainless Steel / Ceramic /  		 bezel.material			
Stainless Steel with a Domed Blue Ceramic Ring 	 Stainless Steel / Ceramic /  		 bezel.material			
Stainless Steel with a Green (High-tech) Ceramics 	 Stainless Steel / Ceramic /  		 bezel.material			
Stainless Steel with a Green Ceramic  (Count-Up Elapsed Time) Top Ring 	 Stainless Steel / Ceramic /  		 bezel.material			
Stainless Steel with a Green Ceramic Ring 	 Stainless Steel / Ceramic /  		 bezel.material			
Stainless Steel with a Green Ceramic Top Ring 	 Stainless Steel / Ceramic /  		 bezel.material			
Stainless Steel with a Grey Ceramic Ring 	 Stainless Steel / Ceramic /  		 bezel.material			
Stainless Steel with a Grey Ceramic Top Ring 	 Stainless Steel / Ceramic /  		 bezel.material			
Stainless Steel with a Grey Ceramic Top Ring showing Tachymeter Markings 	 Stainless Steel / Ceramic /  		 bezel.material			
Stainless Steel with a Pink Ceramic Top Ring 	 Stainless Steel / Ceramic /  		 bezel.material			
Stainless Steel with a Red and Blue Ceramic Ring 	 Stainless Steel / Ceramic /  		 bezel.material			
Stainless Steel with a White Ceramic 	 Stainless Steel / Ceramic /  		 bezel.material			
Stainless Steel with a White Ceramic Inlay 	 Stainless Steel / Ceramic /  		 bezel.material			
Stainless Steel with a White Ceramic Inlay set with 48 Amethysts 	 Stainless Steel / Ceramic /  		 bezel.material			
Stainless Steel with a White Ceramic Inlay showing Tachymeter Markings 	 Stainless Steel / Ceramic /  		 bezel.material			
Stainless Steel with a White Ceramic Inserts 	 Stainless Steel / Ceramic /  		 bezel.material			
Stainless Steel with a White Ceramic Ring 	 Stainless Steel / Ceramic /  		 bezel.material			
Stainless Steel with a White Ceramic Top Rin 	 Stainless Steel / Ceramic /  		 bezel.material			
Stainless Steel with a White Ceramic Top Ring 	 Stainless Steel / Ceramic /  		 bezel.material			
Stainless Steel with a White Ceramic set with C 	 Stainless Steel / Ceramic /  		 bezel.material			
Stainless Steel with a White ceramic Top Ring 	 Stainless Steel / Ceramic /  		 bezel.material			
Stainless Steel with a black Ceramic Inlay 	 Stainless Steel / Ceramic /  		 bezel.material			
Stainless Steel with a black Ceramic Ring 	 Stainless Steel / Ceramic /  		 bezel.material			
Stainless Steel with a blue Ceramic Ring 	 Stainless Steel / Ceramic /  		 bezel.material			
Stainless Steel with a blue Ceramic Top Ring 	 Stainless Steel / Ceramic /  		 bezel.material			
Stainless Steel with a pink Ceramic Ring 	 Stainless Steel / Ceramic /  		 bezel.material			
Stainless Steel with an Orange Ceramic (Count-Up Elapsed Time) Ring 	 Stainless Steel / Ceramic /  		 bezel.material			
Stainless Steel with an Orange Ceramic Ring 	 Stainless Steel / Ceramic /  		 bezel.material			
Stainless Steel with an inlaid  White Ceramic Ring 	 Stainless Steel / Ceramic /  		 bezel.material			
Stainless Steel with an inlaid Black Ceramic Ring 	 Stainless Steel / Ceramic /  		 bezel.material			
Stainless Steel with an inlaid Blue Ceramic Ring 	 Stainless Steel / Ceramic /  		 bezel.material			
Stainless Steel with an inlaid Green Ceramic Ring 	 Stainless Steel / Ceramic /  		 bezel.material			
Stainless Steel withy a Black Ceramic  (Count-Up Elapsed Time) Top Ring 	 Stainless Steel / Ceramic /  		 bezel.material			
Stainless Steel/ Ceramic 	 Stainless Steel / Ceramic /  		 bezel.material			
Stainless Steelwith a White Ceramic Top Ring 	 Stainless Steel / Ceramic /  		 bezel.material			
Stainless-Steel with a Black Ceramic Top Ring 	 Stainless Steel / Ceramic /  		 bezel.material			
Stainlesss Steel with  Black Ceramic Ring 	 Stainless Steel / Ceramic /  		 bezel.material			
Black (Hi-Tech) Ceramic (with Stainless Steel) 	 Stainless Steel / Ceramic /  		 case.material			
Black Ceramic And Stainless Steel 	 Stainless Steel / Ceramic /  		 case.material			
Black Ceramic and Gold-tone Stainless Steel 	 Stainless Steel / Ceramic /  		 case.material			
Black Ceramic and Stainless Steel 	 Stainless Steel / Ceramic /  		 case.material			
Black Ceramic with Gunmetal Accents 	 Stainless Steel / Ceramic /  		 case.material			
Black Ceramic with Stainless Steel Trim 	 Stainless Steel / Ceramic /  		 case.material			
Black Ion-plated Stainless Steel and Black Ceramic 	 Stainless Steel / Ceramic /  		 case.material			
Black PVD Stainless Steel and Black Ceramic 	 Stainless Steel / Ceramic /  		 case.material			
Black PVD Stainless Steel and Ceramic 	 Stainless Steel / Ceramic /  		 case.material			
Blue Solid Ceramic with Stainless Steel Back 	 Stainless Steel / Ceramic /  		 case.material			
Ceramic and Rose Gold-tone Stainless Steel 	 Stainless Steel / Ceramic /  		 case.material			
Ceramic and Stainless Steel 	 Stainless Steel / Ceramic /  		 case.material			
"Ceramic, PVD Stainless Steel "	 Stainless Steel / Ceramic /  		 case.material			
"Ceramic, Stainless Steel "	 Stainless Steel / Ceramic /  		 case.material			
"Ceramic,Stainless Steel "	 Stainless Steel / Ceramic /  		 case.material			
Ceramic- Stainless Steel 	 Stainless Steel / Ceramic /  		 case.material			
Gold-tone Stainless Steel and Beige Ceramic 	 Stainless Steel / Ceramic /  		 case.material			
Gold-tone Stainless Steel and Black Ceramic 	 Stainless Steel / Ceramic /  		 case.material			
Gold-tone Stainless Steel and White Ceramic 	 Stainless Steel / Ceramic /  		 case.material			
Gunmetal Ceramic 	 Stainless Steel / Ceramic /  		 case.material			
Hi-Tech Ceramic and Stainless Steel 	 Stainless Steel / Ceramic /  		 case.material			
High Tech Ceramic and Stainless Steel 	 Stainless Steel / Ceramic /  		 case.material			
High-Tech Ceramic and Stainless Steel 	 Stainless Steel / Ceramic /  		 case.material			
High-Tech Ceramic wtih Stainless Steel 	 Stainless Steel / Ceramic /  		 case.material			
"High-Tech Ceramic, Stainless Steel "	 Stainless Steel / Ceramic /  		 case.material			
High-tech Ceramic and Stainless Steel 	 Stainless Steel / Ceramic /  		 case.material			
High-tech White Ceramic and Stainless steel 	 Stainless Steel / Ceramic /  		 case.material			
High-tech ceramic and Stainless Steel 	 Stainless Steel / Ceramic /  		 case.material			
Mixed Stainless Steel and Ceramic 	 Stainless Steel / Ceramic /  		 case.material			
Plasma High-Tech Ceramic and Stainless Steel 	 Stainless Steel / Ceramic /  		 case.material			
"Plasma High-Tech Ceramics, Stainless Steel "	 Stainless Steel / Ceramic /  		 case.material			
"Plasma High-tech Ceramic, Stainless Steel "	 Stainless Steel / Ceramic /  		 case.material			
"Plasma High-tech Ceramic, Stainless Steel / PVD "	 Stainless Steel / Ceramic /  		 case.material			
Plasma high-tech Ceramic Stainless Steel 	 Stainless Steel / Ceramic /  		 case.material			
"Plasma high-tech Ceramic, Stainless Steel "	 Stainless Steel / Ceramic /  		 case.material			
"Plasma high-tech Ceramic, Stainless steel "	 Stainless Steel / Ceramic /  		 case.material			
Rose Gold-tone Stainless Steel and Beige Ceramic 	 Stainless Steel / Ceramic /  		 case.material			
Rose Gold-tone Stainless Steel and Ceramic 	 Stainless Steel / Ceramic /  		 case.material			
Rose Gold-tone Stainless Steel and White Ceramic 	 Stainless Steel / Ceramic /  		 case.material			
Rose Gold-tone Stainless Steeland Black Ceramic 	 Stainless Steel / Ceramic /  		 case.material			
Silver-tone Ceramos and Stainless Steel 	 Stainless Steel / Ceramic /  		 case.material			
Stainless Steel and Beige Ceramic 	 Stainless Steel / Ceramic /  		 case.material			
Stainless Steel and Black Ceramic 	 Stainless Steel / Ceramic /  		 case.material			
Stainless Steel and Ceramic 	 Stainless Steel / Ceramic /  		 case.material			
Stainless Steel and Ceramos 	 Stainless Steel / Ceramic /  		 case.material			
Stainless Steel and PVD High-tech Ceramic 	 Stainless Steel / Ceramic /  		 case.material			
Stainless Steel and Plasma High Tech Ceramic 	 Stainless Steel / Ceramic /  		 case.material			
Stainless Steel and White Ceramic 	 Stainless Steel / Ceramic /  		 case.material			
Stainless Steel and ceramic 	 Stainless Steel / Ceramic /  		 case.material			
Stainless Steel with Black Ceramic Lateral Inserts 	 Stainless Steel / Ceramic /  		 case.material			
Stainless Steel with a black ceramic edge band 	 Stainless Steel / Ceramic /  		 case.material			
Stainless Steel with a clack ceramic ring 	 Stainless Steel / Ceramic /  		 case.material			
Stainless Steel with a white ceramic edge 	 Stainless Steel / Ceramic /  		 case.material			
Stainless Steel-Ceramic 	 Stainless Steel / Ceramic /  		 case.material			
Two-tone (ceramic and rose gold-tone stainless Ste 	 Stainless Steel / Ceramic /  		 case.material			
White Ceramic  and Stainless Steel 	 Stainless Steel / Ceramic /  		 case.material			
White Ceramic and Rose Gold-tone Stainless Steel 	 Stainless Steel / Ceramic /  		 case.material			
White Ceramic and Rose gold-tone Stainless Steel 	 Stainless Steel / Ceramic /  		 case.material			
White Ceramic and Stainless Steel 	 Stainless Steel / Ceramic /  		 case.material			
Black Ceramic and Stainless Steel with Diamonds 	 Stainless Steel / Ceramic / Diamond /  		 band.material			
Stainless Steel and Ceramic (Diamond Set) 	 Stainless Steel / Ceramic / Diamond /  		 band.material			
Ceramic Stainless- Steel with 114 Diamonds 	 Stainless Steel / Ceramic / Diamond /  		 bezel.material			
"Ceramic Stainless-Steel, Diamonds "	 Stainless Steel / Ceramic / Diamond /  		 bezel.material			
Ceramic with Diamond-set Stainless Steel  Lugs 	 Stainless Steel / Ceramic / Diamond /  		 bezel.material			
Ceramic with Stainless Steel set with Diamonds 	 Stainless Steel / Ceramic / Diamond /  		 bezel.material			
Ceramic with a Stainless Steel Ring set with Diamonds 	 Stainless Steel / Ceramic / Diamond /  		 bezel.material			
Stainless Steel and Black Ceramic set with Diamonds 	 Stainless Steel / Ceramic / Diamond /  		 bezel.material			
Stainless Steel and White Ceramic set with 60 Diamond 	 Stainless Steel / Ceramic / Diamond /  		 bezel.material			
Stainless Steel with Black Ceramic Inlays set with Diamonds 	 Stainless Steel / Ceramic / Diamond /  		 bezel.material			
Stainless Steel with Black Ceramic Pyramid  Inserts and set with Diamonds 	 Stainless Steel / Ceramic / Diamond /  		 bezel.material			
Stainless Steel with Black Ceramic set with Diamonds 	 Stainless Steel / Ceramic / Diamond /  		 bezel.material			
Stainless Steel with White Ceramic Inlay set with Diamonds 	 Stainless Steel / Ceramic / Diamond /  		 bezel.material			
Stainless Steel with a Black Ceramic Inlay set with 126 Diamonds 	 Stainless Steel / Ceramic / Diamond /  		 bezel.material			
Stainless Steel with a Black Ceramic Inlay set with Diamonds 	 Stainless Steel / Ceramic / Diamond /  		 bezel.material			
Stainless Steel with a Black Ceramic Top Ring set with Diamonds 	 Stainless Steel / Ceramic / Diamond /  		 bezel.material			
Stainless Steel with a White Ceramic Inlay set with Diamonds 	 Stainless Steel / Ceramic / Diamond /  		 bezel.material			
Stainless Steel with a White Ceramic Inlay set with Pink Diamonds 	 Stainless Steel / Ceramic / Diamond /  		 bezel.material			
Stainless Steel with a White Ceramic Ring set with Diamonds 	 Stainless Steel / Ceramic / Diamond /  		 bezel.material			
Stainless Steel with a White Ceramic set with Diamonds 	 Stainless Steel / Ceramic / Diamond /  		 bezel.material			
Stainless steel with a White Ceramic Ring set with Diamonds 	 Stainless Steel / Ceramic / Diamond /  		 bezel.material			
Stainless Steel with a Black Ceramic and Orange Rubber (Count-Up Elapsed Time) Top Ring 	 Stainless Steel / Ceramic / Rubber /  		 bezel.material			
Black TR90 Composite with Black Stainless Steel 	 Stainless Steel / Composite /  		 band.material			
Stainless Steel and White TR 90 Composite Material 	 Stainless Steel / Composite /  		 band.material			
TR90 Composite Material and Stainless Steel 	 Stainless Steel / Composite /  		 band.material			
TR90 Composite and Stainless Steel 	 Stainless Steel / Composite /  		 band.material			
Stainless Steel Composite 	 Stainless Steel / Composite /  		 bezel.material			
Stainless Steel with a Black TR90 Composite 	 Stainless Steel / Composite /  		 bezel.material			
Black TR90 Composite Material and Stainless Steel 	 Stainless Steel / Composite /  		 case.material			
Black TR90 Composite and Stainless Steel 	 Stainless Steel / Composite /  		 case.material			
Black TR90 composite and stainless steel 	 Stainless Steel / Composite /  		 case.material			
Black TR90 composite material and Stainless Steel 	 Stainless Steel / Composite /  		 case.material			
Black TR90 composite material and stainless steel 	 Stainless Steel / Composite /  		 case.material			
